rank,country,region,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,dystopia,population,year,sqrt_of_population,posx
56,Lithuania,Central and Eastern Europe,5.832999999999999,1.14723,1.25745,0.73128,0.21341999999999997,0.026410000000000003,0.01031,2.4464900000000003,2930000.0,2015,1711.724276862369,22.731099
57,Nicaragua,Latin America and Caribbean,5.827999999999999,0.59325,1.14184,0.7431399999999999,0.55475,0.27815,0.19317,2.32407,6220000.0,2015,2493.992782667985,-85.71254
58,Peru,Latin America and Caribbean,5.824,0.9001899999999999,0.97459,0.73017,0.41496000000000005,0.14982,0.05989,2.5945,30500000.0,2015,5522.68050859363,-69.590424
59,Belarus,Central and Eastern Europe,5.813,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.11045999999999999,0.1909,2.1309,9440000.0,2015,3072.458299147443,23.484128
60,Poland,Central and Eastern Europe,5.791,1.12555,1.27948,0.77903,0.53122,0.16759000000000002,0.04212,1.86565,38000000.0,2015,6164.414002968976,15.016996
61,Malaysia,Southeastern Asia,5.77,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.33075,0.10500999999999999,1.8854099999999998,30300000.0,2015,5504.543577809154,101.075516
62,Croatia,Central and Eastern Europe,5.7589999999999995,1.08254,0.79624,0.78805,0.25883,0.054439999999999995,0.0243,2.75414,4230000.0,2015,2056.6963801203133,18.829838
63,Libya,Middle East and Northern Africa,5.754,1.13145,1.1186200000000002,0.7038,0.41668,0.18295,0.11023,2.0906599999999997,6420000.0,2015,2533.7718918639853,14.8513
64,Russia,Central and Eastern Europe,5.716,1.13764,1.23617,0.6692600000000001,0.36679,0.00199,0.03005,2.27394,145000000.0,2015,12041.594578792296,143.648007
65,Jamaica,Latin America and Caribbean,5.709,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.2123,0.02299,2.32038,2890000.0,2015,1700.0,-77.569601
67,Cyprus,Western Europe,5.689,1.20813,0.89318,0.92356,0.40671999999999997,0.30638000000000004,0.06146,1.8893099999999998,1160000.0,2015,1077.0329614269008,33.973617
68,Algeria,Middle East and Northern Africa,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17382999999999998,2.43209,39700000.0,2015,6300.793600809346,11.999506
70,Turkmenistan,Central and Eastern Europe,5.547999999999999,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,1.8698400000000002,5570000.0,2015,2360.084744241189,61.210817
71,Mauritius,Sub-Saharan Africa,5.477,1.0076100000000001,0.98521,0.7095,0.56066,0.37744,0.07521,1.76145,1260000.0,2015,1122.4972160321825,
73,Estonia,Central and Eastern Europe,5.428999999999999,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,1.58782,1320000.0,2015,1148.9125293076058,24.312863
74,Indonesia,Southeastern Asia,5.399,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.51535,0.0,1.86399,258000000.0,2015,16062.37840420901,120.715609
75,Vietnam,Southeastern Asia,5.36,0.63216,0.9122600000000001,0.7467600000000001,0.59444,0.1686,0.10440999999999999,2.20173,92700000.0,2015,9628.083921528727,108.05018
76,Turkey,Middle East and Northern Africa,5.332000000000001,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,2.08528,78500000.0,2015,8860.022573334676,36.913127
78,Nigeria,Sub-Saharan Africa,5.268,0.65435,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.27233,0.0403,2.89319,181000000.0,2015,13453.62404707371,8.500288
79,Bhutan,Southern Asia,5.252999999999999,0.77042,1.10395,0.57407,0.5320600000000001,0.47998,0.15445,1.63794,728000.0,2015,853.2291603080616,91.696657
80,Azerbaijan,Central and Eastern Europe,5.212000000000001,1.02389,0.9379299999999999,0.64045,0.3703,0.07799,0.16065,2.00073,9620000.0,2015,3101.6124838541646,45.001987
81,Pakistan,Southern Asia,5.194,0.59543,0.41411000000000003,0.51466,0.12102,0.33671,0.10464000000000001,3.1070900000000004,199000000.0,2015,14106.735979665884,75.158028
82,Jordan,Middle East and Northern Africa,5.192,0.9019799999999999,1.05392,0.69639,0.40660999999999997,0.11052999999999999,0.14293,1.8799599999999999,9270000.0,2015,3044.6674695276656,35.545665
82,Montenegro,Central and Eastern Europe,5.192,0.9743799999999999,0.9055700000000001,0.72521,0.1826,0.1614,0.14296,2.10017,627000.0,2015,791.8333157931662,19.801613
84,China,Eastern Asia,5.14,0.89012,0.94675,0.81658,0.5169699999999999,0.08185,0.02781,1.8604,1410000000.0,2015,37549.966711037174,110.339188
85,Zambia,Sub-Saharan Africa,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,2.6343,15900000.0,2015,3987.480407475377,32.759375
86,Romania,Central and Eastern Europe,5.124,1.04345,0.8858799999999999,0.7689,0.35068,0.13748,0.006490000000000001,1.9312900000000002,19900000.0,2015,4460.9416046390925,22.710531
87,Serbia,Central and Eastern Europe,5.122999999999999,0.92053,1.0096399999999999,0.74836,0.20107,0.19230999999999998,0.02617,2.025,8880000.0,2015,2979.932885150268,
88,Portugal,Western Europe,5.102,1.15991,1.13935,0.8751899999999999,0.51469,0.13719,0.01078,1.26462,10400000.0,2015,3224.9030993194197,-9.034818
89,Latvia,Central and Eastern Europe,5.098,1.11312,1.09562,0.72437,0.29671,0.18225999999999998,0.06332,1.62215,2000000.0,2015,1414.213562373095,21.0558
90,Philippines,Southeastern Asia,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279000000000001,1.7536,102000000.0,2015,10099.504938362077,126.376814
92,Morocco,Middle East and Northern Africa,5.013,0.7347899999999999,0.64095,0.60954,0.41691000000000006,0.07172,0.08546000000000001,2.4537299999999997,34700000.0,2015,5890.670590009257,-5.193863
93,Macedonia,Central and Eastern Europe,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.053270000000000005,1.7393299999999998,2080000.0,2015,1442.2205101855957,20.59023
