,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,year,social_support
107,108,Palestinian Territories,Middle East and Northern Africa,4.715,1.503533189,2.720286177,1.645868741,0.8993978604,1.094070347,2015,2.47682598
108,109,Bangladesh,Southern Asia,4.694,0.9983789875,2.479183482,2.742330789,1.696473326,1.065584672,2015,1.153504405
109,110,Iran,Middle East and Northern Africa,4.686,2.533556518,2.876461056,2.017648716,3.044570875,0.497058074,2015,1.456986367
110,111,Ukraine,Central and Eastern Europe,4.681,2.006828912,2.776945928,1.687789721,1.221073888,0.2510300114,2015,3.218605364
111,112,Iraq,Middle East and Northern Africa,4.677,2.475014485,2.4821916,1.687789721,1.432673403,1.168930023,2015,2.191326549
112,113,South Africa,Sub-Saharan Africa,4.642,2.311769864,1.140941963,2.230881394,0.9571140861,0.7531748131,2015,3.170170274
113,114,Ghana,Sub-Saharan Africa,4.633,1.370200005,1.653723015,2.844580359,1.845560253,0.3692116514,2015,1.818429878
114,115,Zimbabwe,Sub-Saharan Africa,4.61,0.6806044968,1.379407404,1.737369342,1.517808833,0.6849278833,2015,2.763636638
115,116,Liberia,Sub-Saharan Africa,4.571,0.1788156464,1.409323753,1.916742767,1.94748295,0.5283414492,2015,2.113161413
116,117,India,Southern Asia,4.565,1.619863817,2.123360243,2.672865575,2.116394841,0.7199415255,2015,1.021525476
117,118,Sudan,Sub-Saharan Africa,4.55,1.308644226,1.519635138,0.6772522459,1.523804285,1.242857132,2015,2.713542446
118,119,Haiti,Latin America and Caribbean,4.518,0.6698805809,1.600771902,1.640897342,3.692159717,1.456075801,2015,0.7137619587
119,120,Congo (Kinshasa),Sub-Saharan Africa,4.517,0.6698805809,0.4040767439,1.518627817,1.985214333,0.6464383104,2015,0.7137619587
120,121,Nepal,Southern Asia,4.514,0.9040487111,2.343612149,2.571825263,2.581721918,0.5007883409,2015,0.9632695695
121,122,Ethiopia,Sub-Saharan Africa,4.512,0.4790099471,1.815378437,2.919016971,1.944525194,1.275751304,2015,0.5103881018
122,123,Sierra Leone,Sub-Saharan Africa,4.507,0.8293831329,1.815378437,2.74367441,1.717737199,0.7448664912,2015,0.8837129279
123,124,Mauritania,Sub-Saharan Africa,4.436,1.140376693,1.478263218,1.627931398,1.75067222,1.480322536,2015,1.215078516
124,125,Kenya,Sub-Saharan Africa,4.419,0.9159530112,1.707415856,2.836048365,3.001083857,0.4950233829,2015,0.9759536759
125,126,Djibouti,Sub-Saharan Africa,4.369,1.105668375,1.495446575,3.095300067,1.446343035,2.382708028,2015,1.178096586
126,127,Armenia,Central and Eastern Europe,4.35,1.929325389,3.007705644,1.333342459,0.6279237573,0.3306372998,2015,2.055708298
127,128,Botswana,Sub-Saharan Africa,4.332,2.495256818,0.1968050713,3.325126467,0.8362457575,1.057530686,2015,2.658711784
128,129,Myanmar,Southeastern Asia,4.307,0.6808054133,1.98807736,2.957108631,6.36221464,1.61367958,2015,0.7254024361
129,130,Georgia,Central and Eastern Europe,4.297,1.86324899,3.00506839,2.726005791,0.4434236896,3.249655984,2015,1.98530348
130,131,Malawi,Sub-Saharan Africa,4.292,0.04028374955,0.9297144092,2.892413272,2.648231474,0.5915016514,2015,0.0429225877
131,132,Sri Lanka,Southern Asia,4.271,2.097668265,2.917709355,3.609369523,3.263764629,0.7781845575,2015,2.235078688
132,133,Cameroon,Sub-Saharan Africa,4.252,1.061090037,0.9643283665,3.31263079,1.648189946,0.4905301068,2015,1.130598086
133,134,Bulgaria,Central and Eastern Europe,4.218,2.541995009,3.158482393,2.054867022,0.9529572388,0.07392710907,2015,2.708511619
134,135,Egypt,Middle East and Northern Africa,4.194,2.214601643,2.54297206,1.161426131,0.9025954352,0.5361410984,2015,2.359671935
135,136,Yemen,Middle East and Northern Africa,4.077,1.37248543,1.650920933,2.389697415,0.7299263944,0.6658526544,2015,1.46239183
136,137,Angola,Sub-Saharan Africa,4.033,1.903130906,0.6874579155,0.6976081065,0.9867715926,0.6037945766,2015,2.027797912
137,138,Mali,Sub-Saharan Africa,3.995,0.6548369612,0.8481655742,2.610454372,1.502700291,1.047187673,2015,0.6977328876
138,139,Congo (Brazzaville),Sub-Saharan Africa,3.989,1.704424531,1.279521413,2.785729752,0.9902889249,0.9907249961,2015,1.816075023
139,140,Comoros,Sub-Saharan Africa,3.956,0.6003886015,1.496435545,1.539588307,1.394222565,1.687098017,2015,0.639717819
140,141,Uganda,Sub-Saharan Africa,3.931,0.5299673835,1.395313342,3.07198824,2.32351775,0.6160875019,2015,0.5646835696
141,142,Senegal,Sub-Saharan Africa,3.904,0.9166311042,1.794156785,2.470381866,1.666176305,0.9082352288,2015,0.9766761882
