,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,year,social_support
79,80,Azerbaijan,Central and Eastern Europe,5.212,56.87136651,54.56624213,54.97319469,9.799215961,28.19812006,2015,43.32852544
80,81,Pakistan,Southern Asia,5.194,33.07280837,43.84895336,17.96612482,42.30662914,18.36695476,2015,19.13018634
81,82,Jordan,Middle East and Northern Africa,5.192,50.09994741,59.33232157,60.36362594,13.88777203,25.08781387,2015,48.6867885
82,82,Montenegro,Central and Eastern Europe,5.192,54.12136275,61.78778117,27.10803498,20.27943911,25.09307964,2015,41.83362595
83,84,China,Eastern Asia,5.14,49.44119072,69.57249122,76.7472116,10.2842137,4.881355237,2015,43.73597333
84,85,Zambia,Sub-Saharan Africa,5.129,26.12697983,25.49520226,72.4865292,24.61551992,21.88447936,2015,42.32099275
85,86,Romania,Central and Eastern Europe,5.124,57.95781517,65.51016249,52.06049125,17.2739609,1.139158414,2015,40.92402857
86,87,Serbia,Central and Eastern Europe,5.123,51.13029624,63.76015763,29.8500142,24.16319043,4.593493942,2015,46.64123381
87,88,Portugal,Western Europe,5.102,64.42651723,74.56605426,76.40873229,17.23752324,1.892161433,2015,52.63330468
88,89,Latvia,Central and Eastern Europe,5.098,61.82759425,61.71621331,44.04832999,22.90043724,11.11425435,2015,50.61315775
89,90,Philippines,Southeastern Asia,5.073,39.17658365,49.51303919,92.85170027,31.40046239,21.55273676,2015,47.82015331
91,92,Morocco,Middle East and Northern Africa,5.013,40.81347743,51.93271486,61.89272102,9.011408755,15.00038182,2015,29.60926549
92,93,Macedonia,Central and Eastern Europe,5.007,51.01809652,62.66022762,49.66886779,28.09343117,9.3502263,2015,46.30307978
93,94,Mozambique,Sub-Saharan Africa,4.971,4.614629627,7.779598047,50.52991162,27.98034879,27.38719372,2015,47.40900976
94,95,Albania,Central and Eastern Europe,4.959,48.80520721,69.28877572,53.04772253,17.9323516,11.25642975,2015,37.15721446
95,96,Bosnia and Herzegovina,Central and Eastern Europe,4.949,46.22572479,67.37689115,13.72474169,31.17052822,0.398442157,2015,42.4614283
96,97,Lesotho,Sub-Saharan Africa,4.898,20.85414894,6.485412367,47.15996422,20.59104388,21.94766841,2015,48.09132328
